Lugar,Dirección,Barrio,Lat,Lon
Iglesia de San Esteban de Beade ,"Rúa de Ramiro Pascual, 112",BEADE,42.1919303,-8.7065876
Iglesia de Santiago de Bembrive  ,"Rúa Río, 22",BEMBRIVE,42.2038755,-8.6868608
Asociación de Vecinos de Cabral ,"Avenida Santa Mariña, 95",CABRAL,42.2219002,-8.6609785
Iglesia de Santa Marina de Cabral ,"Camino de la Iglesia, 34",CABRAL,42.2235136,-8.6566621
Iglesia de San Cristóbal de Candeán ,"Rúa da Goleta, 1",CANDEÁN,42.2418326,-8.6648821
Asociación de Vecinos Monte da Mina ,"Camiño da Galindra, 16",CASTRELOS,42.2094218,-8.7239761
Gasolinera Repsol  (Camino del Caramuxo),"Avenida Ricardo Mella, 89",COMESAÑA,42.2039779,-8.7614566
Grupo Toysal (Polígono del Caramuxo),"Camiño do Caramuxo, 65",COMESAÑA,42.203494,-8.7603003
Iglesia de San Andrés de Comesaña,"Estrada Matamá-Pazo Comesaña, 115",COMESAÑA,42.1994717,-8.754178
Iglesia de San Salvador de Coruxo,"Estrada de Camposancos, 282",CORUXO,42.1882595,-8.7767438
Parroquia de San Paio de Lavadores,"Subida á Igrexa, 14",LAVADORES,42.2343295,-8.6899476
Parroquia de Santa Cristina de Lavadores,"Rúa de Santa Cristina, 0",LAVADORES,42.2266393,-8.6969733
Parroquia de San Pedro de Matamá,"Camiño Real, 10",MATAMÁ,42.2010246,-8.7376815
Centro Pastoral San Juan Pablo II,"Rúa Pedra Seixa, 25",NAVIA,42.2101763,-8.7592729
Parroquia de San Paio de Navia,"San Paio, 197",NAVIA,42.2083644,-8.7668959
Hermanos Misioneros de los Enfermos Pobres,"Avenida de Galicia, 160",TEIS,42.2523047,-8.6876166
Parroquia de San Andrés de Valladares,"Camino de la Iglesia, 34",VALLADARES,42.1776636,-8.7245333
Centro Comercial Gran Vía,"Rúa Miradoiro, 2",VIGO CENTRO,42.2207659,-8.7243706
El Corte Inglés,"Avenida da Gran Vía, 28",VIGO CENTRO,42.2322111,-8.7174503
Iglesia de San Miguel de Bouzas,"Rúa de Sebastián Elcano, 24",VIGO CENTRO,42.2262171,-8.7535606
Iglesia Santo Cura de Ars,"Rúa de Aragón, 203",VIGO CENTRO,42.2407449,-8.7007885
Mercado Progreso,"Rúa do Progreso, 28",VIGO CENTRO,42.235468,-8.7224845
Mercado Travesas,"Rúa Espedrigada, 7",VIGO CENTRO,42.2179886,-8.7354594
Nave-almacén de Cáritas Diocesana de Tui-Vigo ,"Rúa do Gandarón, 107",VIGO CENTRO,42.2227629,-8.6990821
Parroquia Corazón de María (Claretianos) ,"Rúa Honduras, 7",VIGO CENTRO,42.2299666,-8.7185863
Parroquia de la Inmaculada Concepción ,"Rúa de Toledo, 5",VIGO CENTRO,42.2321319,-8.7004588
Parroquia de Nuestra Señora de la Paz,"Rúa Gaivota, 9",VIGO CENTRO,42.2256786,-8.7069921
Parroquia de Nuestra Señora del Carmen,"Paseo Padre Lorenzo Carmelita, 12",VIGO CENTRO,42.2237298,-8.7316148
Parroquia de Nuestra Señora del Perpetuo Socorro,"Rúa Lalín, 3",VIGO CENTRO,42.221399, -8.733975
Parroquia de Nuestra Señora del Rocío,"Rúa Vilagarcía de Arousa, 11",VIGO CENTRO,42.2188263,-8.7486727
Parroquia de San Francisco Javier (Jesuitas) ,"Rúa Sanjurjo Badía, 79",VIGO CENTRO,42.2448253,-8.7038788
Parroquia de San José y Santa Rita ,"Rúa Vázquez Varela, 56",VIGO CENTRO,42.2288935,-8.7163523
Parroquia de Santa Clara,"Avenida de Ramón Nieto, 405",VIGO CENTRO,42.2268012,-8.6758608
Parroquia del Santísimo Cristo de la Victoria,"Rúa de Baiona, 9",VIGO CENTRO,42.2148422,-8.7501528
Parroquia Santuario de Nuestra Señora de Fátima,"Rúa de Vía Norte, s/n",VIGO CENTRO,42.2346575,-8.7076875
Vitrasa,"Estrada de Camposancos, 36",VIGO CENTRO,42.2030753,-8.7548653
Asociación de Vecinos de Zamáns,"Carretera Zamáns, 251",ZAMÁNS,42.1583043,-8.6866311
